Name,wikipedia,Hex,Red,Green,Blue,Hue,Saturation,Light,Saturation(HSV),Value
Dark lavender,https://en.wikipedia.org/wiki/Lavender_(color)#Dark_lavender,#734F96,45%,31%,59%,270°,31%,45%,47%,59%
Dark liver,https://en.wikipedia.org/wiki/Liver_(color)#Dark_liver_.28web.29,#534B4F,33%,29%,31%,330°,5%,31%,10%,33%
Dark liver (horses),https://en.wikipedia.org/wiki/Liver_(color)#Dark_liver_.28horses.29,#543D37,33%,24%,22%,12°,21%,27%,35%,33%
Dark magenta,https://en.wikipedia.org/wiki/Variations_of_magenta#Dark_magenta,#8B008B,55%,0%,55%,300°,100%,27%,100%,55%
Dark medium gray,https://en.wikipedia.org/wiki/Variations_of_gray#Dark_medium_gray_.28dark_gray_.28X11.29.29,#A9A9A9,66%,66%,66%,—°,0%,66%,0%,66%
Dark midnight blue,https://en.wikipedia.org/wiki/Midnight_blue#Dark_midnight_blue,#003366,0%,20%,40%,210°,100%,20%,100%,40%
Dark moss green,https://en.wikipedia.org/wiki/Moss_green#Dark_moss_green,#4A5D23,29%,36%,14%,80°,45%,25%,62%,36%
Dark olive green,https://en.wikipedia.org/wiki/Olive_(color)#Dark_olive_green,#556B2F,33%,42%,18%,82°,39%,30%,56%,42%
Dark orange,https://en.wikipedia.org/wiki/Shades_of_orange#Dark_orange_.28web_color.29,#FF8C00,100%,55%,0%,33°,100%,50%,100%,100%
Dark orchid,https://en.wikipedia.org/wiki/Orchid_(color)#Dark_orchid,#9932CC,60%,20%,80%,280°,61%,50%,75%,80%
Dark pastel blue,https://en.wikipedia.org/wiki/Shades_of_blue#Dark_pastel_blue,#779ECB,47%,62%,80%,212°,45%,63%,41%,80%
Dark pastel green,https://en.wikipedia.org/wiki/Shades_of_green#Dark_pastel_green,#03C03C,1%,75%,24%,138°,97%,38%,98%,75%
Dark pastel purple,https://en.wikipedia.org/wiki/Shades_of_purple#Dark_pastel_purple,#966FD6,59%,44%,84%,263°,56%,64%,48%,84%
Dark pastel red,https://en.wikipedia.org/wiki/Shades_of_red#Dark_pastel_red,#C23B22,76%,23%,13%,9°,70%,45%,82%,76%
Dark pink,https://en.wikipedia.org/wiki/Variations_of_pink#Dark_pink,#E75480,91%,33%,50%,342°,75%,62%,64%,91%
Dark powder blue,https://en.wikipedia.org/wiki/Powder_blue#Dark_powder_blue,#003399,0%,20%,60%,220°,100%,30%,100%,60%
Dark puce,https://en.wikipedia.org/wiki/Puce#Dark_puce,#4F3A3C,31%,23%,24%,354°,15%,27%,27%,31%
Dark purple,https://en.wikipedia.org/wiki/Dark_purple,#301934,19%,10%,20%,291°,35%,15%,51%,20%
Dark raspberry,https://en.wikipedia.org/wiki/Raspberry_(color)#Dark_raspberry,#872657,53%,15%,34%,330°,56%,34%,72%,53%
Dark red,https://en.wikipedia.org/wiki/Maroon_(color)#Dark_red,#8B0000,55%,0%,0%,0°,100%,27%,100%,55%
Dark salmon,https://en.wikipedia.org/wiki/Salmon_(color)#Dark_salmon,#E9967A,91%,59%,48%,15°,72%,70%,48%,91%
Dark scarlet,https://en.wikipedia.org/wiki/Scarlet_(color)#Dark_scarlet,#560319,34%,1%,10%,344°,93%,17%,97%,34%
Dark sea green,https://en.wikipedia.org/wiki/X11_color_names#Color_name_charts,#8FBC8F,56%,74%,56%,120°,25%,65%,24%,74%
Dark sienna,https://en.wikipedia.org/wiki/Sienna,#3C1414,24%,8%,8%,0°,50%,16%,67%,24%
Dark sky blue,https://en.wikipedia.org/wiki/Sky_blue#Dark_sky_blue,#8CBED6,55%,75%,84%,199°,47%,69%,35%,84%
Dark slate blue,https://en.wikipedia.org/wiki/X11_color_names#Color_name_charts,#483D8B,28%,24%,55%,248°,39%,39%,56%,55%
Dark slate gray,https://en.wikipedia.org/wiki/Slate_gray#Dark_slate_gray,#2F4F4F,18%,31%,31%,180°,25%,25%,41%,31%
Dark spring green,https://en.wikipedia.org/wiki/Spring_green#Dark_spring_green,#177245,9%,45%,27%,150°,66%,27%,80%,45%
Dark tan,https://en.wikipedia.org/wiki/Tan_(color)#Dark_tan,#918151,57%,51%,32%,45°,28%,44%,44%,57%
Dark tangerine,https://en.wikipedia.org/wiki/Shades_of_orange#Dark_tangerine,#FFA812,100%,66%,7%,38°,100%,54%,93%,100%
Dark taupe,https://en.wikipedia.org/wiki/Taupe#Dark_taupe,#483C32,28%,24%,20%,27°,18%,24%,31%,28%
Dark terra cotta,https://en.wikipedia.org/wiki/Terracotta#Dark_terra_cotta,#CC4E5C,80%,31%,36%,353°,55%,55%,62%,80%
Dark turquoise,https://en.wikipedia.org/wiki/Turquoise_(color)#Dark_Turquoise,#00CED1,0%,81%,82%,181°,100%,41%,100%,82%
Dark vanilla,https://en.wikipedia.org/wiki/Vanilla_(color)#Dark_vanilla,#D1BEA8,82%,75%,66%,32°,31%,74%,20%,82%
Dark violet,https://en.wikipedia.org/wiki/Shades_of_violet#Pigment_violet_.28web_color_dark_violet.29,#9400D3,58%,0%,83%,282°,100%,41%,100%,83%
Dark yellow,https://en.wikipedia.org/wiki/Yellow#Dark_yellow,#9B870C,61%,53%,5%,52°,86%,33%,92%,61%
Dartmouth green,https://en.wikipedia.org/wiki/Shades_of_green#Dartmouth_green,#00703C,0%,44%,24%,152°,100%,22%,100%,44%
Davy's grey,https://en.wikipedia.org/wiki/Davy%27s_grey,#555555,33%,33%,33%,—°,0%,33%,0%,33%
Debian red,https://en.wikipedia.org/wiki/Debian,#D70A53,84%,4%,33%,339°,91%,44%,95%,84%
Deep aquamarine,https://en.wikipedia.org/wiki/Aquamarine_(color),#40826D,25%,51%,43%,161°,34%,38%,51%,51%
Deep carmine,https://en.wikipedia.org/wiki/Carmine_(color)#Deep_carmine,#A9203E,66%,13%,24%,347°,68%,39%,81%,66%
Deep carmine pink,https://en.wikipedia.org/wiki/Carmine_(color)#Deep_Carmine_Pink,#EF3038,94%,19%,22%,357°,86%,56%,80%,94%
Deep carrot orange,https://en.wikipedia.org/wiki/Shades_of_orange#Deep_carrot_orange,#E9692C,91%,41%,17%,19°,81%,54%,81%,91%
Deep cerise,https://en.wikipedia.org/wiki/Cerise_(color)#Deep_cerise,#DA3287,85%,20%,53%,330°,69%,53%,77%,85%
Deep champagne,https://en.wikipedia.org/wiki/Champagne_(color)#Deep_champagne,#FAD6A5,98%,84%,65%,35°,90%,81%,34%,98%
Deep chestnut,https://en.wikipedia.org/wiki/Chestnut_(color)#Deep_chestnut,#B94E48,73%,31%,28%,3°,45%,50%,61%,73%
Deep coffee,https://en.wikipedia.org/wiki/Coffee_(color)#Deep_coffee,#704241,44%,26%,25%,1°,27%,35%,42%,44%
Deep fuchsia,https://en.wikipedia.org/wiki/Fuchsia_(color)#Deep_fuchsia,#C154C1,76%,33%,76%,300°,47%,54%,56%,76%
Deep Green,https://en.wikipedia.org/wiki/Deep_Green,#056608,2%,40%,3%,122°,91%,21%,95%,40%
Deep green-cyan turquoise,https://en.wikipedia.org/wiki/Shades_of_cyan,#0E7C61,5%,49%,38%,165°,80%,27%,89%,49%
Deep jungle green,https://en.wikipedia.org/wiki/Jungle_green#Deep_jungle_green,#004B49,0%,29%,29%,178°,100%,15%,100%,29%
Deep Koamaru,,#333366,20%,20%,40%,240°,33%,30%,50%,40%
Deep lemon,https://en.wikipedia.org/wiki/Lemon_(color)#Deep_lemon,#F5C71A,96%,78%,10%,47°,92%,53%,89%,96%
Deep lilac,https://en.wikipedia.org/wiki/Lilac_(color)#Deep_lilac,#9955BB,60%,33%,73%,280°,43%,53%,55%,73%
Deep magenta,https://en.wikipedia.org/wiki/Magenta#Deep_magenta,#CC00CC,80%,0%,80%,300°,100%,40%,100%,80%
Deep maroon,https://en.wikipedia.org/wiki/Maroon_(color),#820000,51%,0%,0%,0°,100%,26%,100%,51%
Deep mauve,https://en.wikipedia.org/wiki/Mauve#French_mauve_.28deep_mauve.29,#D473D4,83%,45%,83%,300°,53%,64%,46%,83%
Deep moss green,https://en.wikipedia.org/wiki/Moss_green#Deep_moss_green,#355E3B,21%,37%,23%,129°,28%,29%,44%,37%
Deep peach,https://en.wikipedia.org/wiki/Peach_(color)#Deep_peach,#FFCBA4,100%,80%,64%,26°,100%,82%,36%,100%
Deep pink,https://en.wikipedia.org/wiki/Shades_of_pink#Deep_pink,#FF1493,100%,8%,58%,328°,100%,54%,92%,100%
Deep puce,https://en.wikipedia.org/wiki/Puce#Deep_puce,#A95C68,66%,36%,41%,351°,31%,51%,46%,66%
Deep Red,https://en.wikipedia.org/wiki/Deep_Red,#850101,52%,0%,0%,0°,99%,26%,99%,52%
Deep ruby,https://en.wikipedia.org/wiki/Ruby_(color)#Deep_ruby,#843F5B,52%,25%,36%,336°,35%,38%,52%,52%
Deep saffron,https://en.wikipedia.org/wiki/Saffron_(color)#India_saffron_and_deep_saffron,#FF9933,100%,60%,20%,30°,100%,60%,80%,100%
Deep sky blue,https://en.wikipedia.org/wiki/Sky_blue#Deep_sky_blue,#00BFFF,0%,75%,100%,195°,100%,50%,100%,100%
Deep Space Sparkle,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Metallic_FX,#4A646C,29%,39%,42%,194°,19%,36%,31%,42%
Deep spring bud,https://en.wikipedia.org/wiki/Spring_bud,#556B2F,33%,42%,18%,82°,39%,30%,56%,42%
Deep Taupe,https://en.wikipedia.org/wiki/Taupe#Deep_taupe,#7E5E60,49%,37%,38%,356°,15%,43%,25%,49%
Deep Tuscan red,https://en.wikipedia.org/wiki/Tuscan_red#Deep_Tuscan_red,#66424D,40%,26%,30%,342°,21%,33%,35%,40%
Deep violet,https://en.wikipedia.org/wiki/Violet_(color),#330066,20%,0%,40%,270°,100%,20%,100%,40%
Deer,https://en.wikipedia.org/wiki/Variations_of_brown#Deer,#BA8759,73%,53%,35%,28°,41%,54%,52%,73%
Denim,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,#1560BD,8%,38%,74%,213°,80%,41%,89%,74%
Denim Blue,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_.27n_Tails,#2243B6,13%,26%,71%,227°,69%,42%,81%,71%
Desaturated cyan,https://en.wikipedia.org/wiki/Shades_of_cyan,#669999,40%,60%,60%,180°,20%,50%,33%,60%
Desert,https://en.wikipedia.org/wiki/Desert_sand_(color)#Desert,#C19A6B,76%,60%,42%,33°,41%,59%,45%,76%
Desert sand,https://en.wikipedia.org/wiki/Desert_sand_(color),#EDC9AF,93%,79%,69%,25°,63%,81%,26%,93%
Desire,https://en.wikipedia.org/wiki/Shades_of_red#Desire,#EA3C53,92%,24%,33%,352°,81%,58%,74%,92%
Diamond,https://en.wikipedia.org/wiki/Shades_of_blue#Diamond,#B9F2FF,73%,95%,100%,191°,100%,86%,27%,100%
Dim gray,https://en.wikipedia.org/wiki/Grey#Web_colors,#696969,41%,41%,41%,—°,0%,41%,0%,41%
Dingy Dungeon,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silly_Scents,#C53151,77%,19%,32%,347°,60%,48%,75%,77%
Dirt,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Magic_Scent,#9B7653,61%,46%,33%,29°,30%,47%,46%,61%
Dodger blue,https://en.wikipedia.org/wiki/Dodger_blue,#1E90FF,12%,56%,100%,210°,100%,56%,88%,100%
Dogwood rose,https://en.wikipedia.org/wiki/Rose_(color)#Dogwood_rose,#D71868,84%,9%,41%,335°,80%,47%,89%,84%
Dollar bill,https://en.wikipedia.org/wiki/List_of_Crayola_colored_pencil_colors#Standard_colors,#85BB65,52%,73%,40%,98°,39%,56%,46%,73%
Dolphin Gray,https://en.wikipedia.org/wiki/List_of_Crayola_marker_colors#Standard_colors,#828E84,51%,56%,52%,130°,5%,53%,8%,56%
Donkey brown,https://en.wikipedia.org/wiki/Shades_of_brown,#664C28,40%,30%,16%,35°,44%,28%,61%,40%
Drab,https://en.wikipedia.org/wiki/Desert_sand_(color)#Sand_dune_.28Drab.29,#967117,59%,44%,9%,43°,73%,34%,85%,59%
Duke blue,https://en.wikipedia.org/wiki/Duke_blue,#00009C,0%,0%,61%,240°,100%,31%,100%,61%
Dust storm,https://en.wikipedia.org/wiki/Variations_of_gray#Dust_storm,#E5CCC9,90%,80%,79%,6°,35%,84%,12%,90%
Dutch white,https://en.wikipedia.org/wiki/Shades_of_white#Dutch_white,#EFDFBB,94%,87%,73%,42°,62%,84%,22%,94%
Earth yellow,https://en.wikipedia.org/wiki/Desert_sand_(color)#Earth_yellow,#E1A95F,88%,66%,37%,34°,68%,63%,58%,88%
Ebony,https://en.wikipedia.org/wiki/Shades_of_black_(colors)#Ebony,#555D50,33%,36%,31%,97°,8%,34%,14%,36%
Ecru,https://en.wikipedia.org/wiki/Ecru,#C2B280,76%,70%,50%,45°,35%,63%,34%,76%
Eerie black,https://en.wikipedia.org/wiki/Shades_of_black#Eerie_black,#1B1B1B,11%,11%,11%,—°,0%,11%,0%,11%
Eggplant,https://en.wikipedia.org/wiki/Eggplant_(color),#614051,38%,25%,32%,329°,20%,32%,34%,38%
Eggshell,https://en.wikipedia.org/wiki/Eggshell_(color),#F0EAD6,94%,92%,84%,46°,46%,89%,11%,94%
Egyptian blue,https://en.wikipedia.org/wiki/Egyptian_blue,#1034A6,6%,20%,65%,226°,82%,36%,90%,65%
Electric blue,https://en.wikipedia.org/wiki/Electric_blue_(color),#7DF9FF,49%,98%,100%,183°,100%,75%,51%,100%
Electric crimson,https://en.wikipedia.org/wiki/Crimson#Electric_crimson,#FF003F,100%,0%,25%,345°,100%,50%,100%,100%
Electric cyan,https://en.wikipedia.org/wiki/Cyan,#00FFFF,0%,100%,100%,180°,100%,50%,100%,100%
Electric green,https://en.wikipedia.org/wiki/Electric_green,#00FF00,0%,100%,0%,120°,100%,50%,100%,100%
Electric indigo,https://en.wikipedia.org/wiki/Indigo#Electric_indigo,#6F00FF,44%,0%,100%,266°,100%,50%,100%,100%
Electric lavender,https://en.wikipedia.org/wiki/Lavender_(color)#Brilliant_lavender_.28electric_lavender.29,#F4BBFF,96%,73%,100%,290°,100%,87%,27%,100%
Electric lime,https://en.wikipedia.org/wiki/Lime_(color)#Electric_lime,#CCFF00,80%,100%,0%,72°,100%,50%,100%,100%
Electric purple,https://en.wikipedia.org/wiki/Shades_of_purple#Electric_purple:_2000s,#BF00FF,75%,0%,100%,285°,100%,50%,100%,100%
Electric ultramarine,https://en.wikipedia.org/wiki/Ultramarine#Electric_ultramarine,#3F00FF,25%,0%,100%,255°,100%,50%,100%,100%
Electric violet,https://en.wikipedia.org/wiki/Shades_of_violet#Electric_violet,#8F00FF,56%,0%,100%,274°,100%,50%,100%,100%
Electric yellow,https://en.wikipedia.org/wiki/Shades_of_yellow#Electric_yellow,#FFFF33,100%,100%,20%,60°,100%,60%,80%,100%
Emerald,https://en.wikipedia.org/wiki/Shades_of_green#Emerald,#50C878,31%,78%,47%,140°,52%,55%,60%,78%
Eminence,https://en.wikipedia.org/wiki/Shades_of_purple#Eminence,#6C3082,42%,19%,51%,284°,46%,35%,63%,51%
English green,https://en.wikipedia.org/wiki/Shades_of_green#Brunswick_green,#1B4D3E,11%,30%,24%,162°,48%,20%,65%,30%
English lavender,https://en.wikipedia.org/wiki/Lavender_(color)#English_lavender,#B48395,71%,51%,58%,338°,25%,61%,27%,71%
English red,https://en.wikipedia.org/wiki/Indian_red_(color)#English_red,#AB4B52,67%,29%,32%,356°,39%,48%,56%,67%
English vermillion,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors,#CC474B,80%,28%,29%,358°,57%,54%,65%,80%
English violet,https://en.wikipedia.org/wiki/Shades_of_violet#English_violet,#563C5C,34%,24%,36%,289°,21%,30%,35%,36%
Eton blue,https://en.wikipedia.org/wiki/Eton_blue#Eton_blue,#96C8A2,59%,78%,64%,134°,31%,69%,25%,78%
Eucalyptus,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Magic_Scent,#44D7A8,27%,84%,66%,161°,65%,55%,68%,84%
Fallow,https://en.wikipedia.org/wiki/Fallow_(color),#C19A6B,76%,60%,42%,33°,41%,59%,45%,76%
Falu red,https://en.wikipedia.org/wiki/Falu_red,#801818,50%,9%,9%,0°,68%,30%,81%,50%
Fandango,https://en.wikipedia.org/wiki/Fuchsia_(color)#Fandango,#B53389,71%,20%,54%,320°,56%,45%,72%,71%
Fandango pink,https://en.wikipedia.org/wiki/Variations_of_pink#Fandango_pink,#DE5285,87%,32%,52%,338°,68%,60%,63%,87%
Fashion fuchsia,https://en.wikipedia.org/wiki/Fuchsia_(color)#Fashion_fuchsia,#F400A1,96%,0%,63%,320°,100%,48%,100%,96%
Fawn,https://en.wikipedia.org/wiki/Fawn_(colour),#E5AA70,90%,67%,44%,30°,69%,67%,51%,90%
Feldgrau,https://en.wikipedia.org/wiki/Shades_of_green#Feldgrau,#4D5D53,30%,36%,33%,143°,9%,33%,17%,36%
Feldspar,https://en.wikipedia.org/wiki/Feldspar,#FDD5B1,99%,84%,69%,28°,95%,84%,30%,99%
Fern green,https://en.wikipedia.org/wiki/Shades_of_green#Fern_green,#4F7942,31%,47%,26%,106°,29%,37%,45%,47%
Ferrari Red,https://en.wikipedia.org/wiki/Ferrari,#FF2800,100%,16%,0%,9°,100%,50%,100%,100%
Field drab,https://en.wikipedia.org/wiki/Desert_sand_(color)#Field_drab,#6C541E,42%,33%,12%,42°,57%,27%,72%,42%
Fiery Rose,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Extreme_Twistables_colors,#FF5470,100%,33%,44%,350°,100%,67%,67%,100%
Firebrick,https://en.wikipedia.org/wiki/X11_color_names#Color_name_charts,#B22222,70%,13%,13%,0°,68%,42%,81%,70%
Fire engine red,https://en.wikipedia.org/wiki/Fire_engine_red,#CE2029,81%,13%,16%,357°,73%,47%,84%,81%
Flame,https://en.wikipedia.org/wiki/Flame_(color),#E25822,89%,35%,13%,17°,77%,51%,85%,89%
Flamingo pink,https://en.wikipedia.org/wiki/Flamingo,#FC8EAC,99%,56%,67%,344°,95%,77%,44%,99%
Flattery,https://en.wikipedia.org/wiki/Brown#Brown-nose,#6B4423,42%,27%,14%,28°,51%,28%,67%,42%
Flavescent,https://en.wikipedia.org/wiki/Buff_(colour)#Flavescent,#F7E98E,97%,91%,56%,52°,87%,76%,43%,97%
Flax,https://en.wikipedia.org/wiki/Flax_(color),#EEDC82,93%,86%,51%,50°,76%,72%,45%,93%
Flirt,https://en.wikipedia.org/wiki/Red-violet#Flirt,#A2006D,64%,0%,43%,320°,100%,32%,100%,64%
Floral white,https://en.wikipedia.org/wiki/Shades_of_white#Floral_white,#FFFAF0,100%,98%,94%,40°,100%,97%,6%,100%
Fluorescent orange,https://en.wikipedia.org/wiki/List_of_Crayola_colored_pencil_colors#Twistables,#FFBF00,100%,75%,0%,45°,100%,50%,100%,100%
Fluorescent pink,https://en.wikipedia.org/wiki/List_of_Crayola_colored_pencil_colors#Twistables,#FF1493,100%,8%,58%,328°,100%,54%,92%,100%
Fluorescent yellow,https://en.wikipedia.org/wiki/List_of_Crayola_colored_pencil_colors#Twistables,#CCFF00,80%,100%,0%,72°,100%,50%,100%,100%
Folly,https://en.wikipedia.org/wiki/Crimson#Folly,#FF004F,100%,0%,31%,341°,100%,50%,100%,100%
Forest green (traditional),https://en.wikipedia.org/wiki/Shades_of_green#UP_Forest_Green,#014421,0%,27%,13%,149°,97%,14%,99%,27%
Forest green (web),https://en.wikipedia.org/wiki/Shades_of_green#Forest_green,#228B22,13%,55%,13%,120°,61%,34%,76%,55%
French beige,https://en.wikipedia.org/wiki/Beige#French_beige,#A67B5B,65%,48%,36%,26°,30%,50%,45%,65%
French bistre,https://en.wikipedia.org/wiki/Bistre#French_bistre,#856D4D,52%,43%,30%,34°,27%,41%,42%,52%
French blue,https://en.wikipedia.org/wiki/Azure_(color)#French_blue,#0072BB,0%,45%,73%,203°,100%,37%,100%,73%
French fuchsia,https://en.wikipedia.org/wiki/Fuchsia_(color)#French_fuchsia,#FD3F92,99%,25%,57%,334°,98%,62%,75%,99%
French lilac,https://en.wikipedia.org/wiki/Lilac_(color)#French_lilac,#86608E,53%,38%,56%,290°,19%,47%,32%,56%
French lime,https://en.wikipedia.org/wiki/Lime_(color)#French_lime,#9EFD38,62%,99%,22%,89°,98%,61%,78%,99%
French mauve,https://en.wikipedia.org/wiki/Mauve#French_mauve_.28deep_mauve.29,#D473D4,83%,45%,83%,300°,53%,64%,46%,83%
French pink,https://en.wikipedia.org/wiki/Variations_of_pink#French_pink,#FD6C9E,99%,42%,62%,339°,97%,71%,57%,99%
French plum,https://en.wikipedia.org/wiki/Plum_(color)#French_plum,#811453,51%,8%,33%,325°,73%,29%,84%,51%
French puce,https://en.wikipedia.org/wiki/Puce#French_puce,#4E1609,31%,9%,4%,11°,79%,17%,88%,31%
French raspberry,https://en.wikipedia.org/wiki/Raspberry_(color)#French_raspberry,#C72C48,78%,17%,28%,349°,64%,48%,78%,78%
French rose,https://en.wikipedia.org/wiki/Rose_(color)#French_rose,#F64A8A,96%,29%,54%,338°,91%,63%,70%,96%
French sky blue,https://en.wikipedia.org/wiki/Sky_blue#French_sky_blue,#77B5FE,47%,71%,100%,212°,99%,73%,53%,100%
French violet,https://en.wikipedia.org/wiki/Shades_of_violet#French_violet,#8806CE,53%,2%,81%,279°,94%,42%,97%,81%
French wine,https://en.wikipedia.org/wiki/Wine_(color)#French_wine,#AC1E44,67%,12%,27%,344°,70%,40%,83%,67%
Fresh Air,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Magic_Scent,#A6E7FF,65%,91%,100%,196°,100%,83%,35%,100%
Frostbite,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Extreme_Twistables_colors,#E936A7,91%,21%,65%,322°,80%,56%,77%,91%
Fuchsia,https://en.wikipedia.org/wiki/Fuchsia_(color),#FF00FF,100%,0%,100%,300°,100%,50%,100%,100%
Fuchsia (Crayola),https://en.wikipedia.org/wiki/Fuchsia_(color)#Deep_fuchsia,#C154C1,76%,33%,76%,300°,47%,54%,56%,76%
Fuchsia pink,https://en.wikipedia.org/wiki/Fuchsia_(color)#Fuchsia_pink_.28light_magenta.29,#FF77FF,100%,47%,100%,300°,100%,73%,53%,100%
Fuchsia purple,https://en.wikipedia.org/wiki/Fuchsia_(color)#Fuchsia_purple,#CC397B,80%,22%,48%,333°,59%,51%,72%,80%
Fuchsia rose,https://en.wikipedia.org/wiki/Rose_(color)#Fuchsia_rose,#C74375,78%,26%,46%,337°,54%,52%,66%,78%
Fulvous,https://en.wikipedia.org/wiki/Fulvous,#E48400,89%,52%,0%,35°,100%,45%,100%,89%
Fuzzy Wuzzy,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,#CC6666,80%,40%,40%,0°,50%,60%,50%,80%
Nadeshiko pink,https://en.wikipedia.org/wiki/Carnation_pink#Nadeshiko_pink,#F6ADC6,96%,68%,78%,339°,80%,82%,30%,96%
Napier green,https://en.wikipedia.org/wiki/British_racing_green,#2A8000,16%,50%,0%,100°,100%,25%,100%,50%
Naples yellow,https://en.wikipedia.org/wiki/Naples_yellow,#FADA5E,98%,85%,37%,48°,94%,67%,62%,98%
Navajo white,https://en.wikipedia.org/wiki/Navajo_white,#FFDEAD,100%,87%,68%,36°,100%,84%,32%,100%
Navy,https://en.wikipedia.org/wiki/Navy_blue,#000080,0%,0%,50%,240°,100%,25%,100%,50%
Navy purple,https://en.wikipedia.org/wiki/Lavender_(color)#Navy_purple,#9457EB,58%,34%,92%,265°,79%,63%,63%,92%
Neon Carrot,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Fluorescent_crayons,#FFA343,100%,64%,26%,31°,100%,63%,74%,100%
Neon fuchsia,https://en.wikipedia.org/wiki/Fuchsia_(color)#Neon_fuchsia,#FE4164,100%,25%,39%,349°,99%,63%,74%,100%
Neon green,https://en.wikipedia.org/wiki/Shades_of_green#Neon_green,#39FF14,22%,100%,8%,111°,100%,54%,92%,100%
New Car,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Magic_Scent,#214FC6,13%,31%,78%,223°,71%,45%,83%,78%
New York pink,https://en.wikipedia.org/wiki/Shades_of_pink#New_York_pink,#D7837F,84%,51%,50%,3°,52%,67%,41%,84%
Nickel,https://en.wikipedia.org/wiki/Shades_of_gray#Nickel,#727472,45%,45%,45%,120°,1%,45%,2%,46%
Non-photo blue,https://en.wikipedia.org/wiki/Non-photo_blue,#A4DDED,64%,87%,93%,193°,67%,79%,31%,93%
North Texas Green,http://www.unt.edu/identityguide/web-electronic.htm,#059033,2%,56%,20%,140°,93%,29%,97%,56%
Nyanza,https://en.wikipedia.org/wiki/Chartreuse_(color)#Nyanza,#E9FFDB,91%,100%,86%,97°,100%,93%,14%,100%
Ocean Blue,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Pearl_Brite,#4F42B5,31%,26%,71%,247°,47%,48%,64%,71%
Ocean Boat Blue,https://en.wikipedia.org/wiki/Azure_(color)#Ocean_boat_blue,#0077BE,0%,47%,75%,202°,100%,37%,100%,75%
Ocean Green,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Pearl_Brite,#48BF91,28%,75%,57%,157°,48%,52%,62%,75%
Ochre,https://en.wikipedia.org/wiki/Ochre,#CC7722,80%,47%,13%,30°,71%,47%,83%,80%
Office green,https://en.wikipedia.org/wiki/Shades_of_green#Office_green,#008000,0%,50%,0%,120°,100%,25%,100%,50%
Ogre Odor,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silly_Scents,#FD5240,99%,32%,25%,6°,98%,62%,75%,99%
Old burgundy,https://en.wikipedia.org/wiki/Burgundy_(color)#Old_burgundy,#43302E,26%,19%,18%,6°,19%,22%,31%,26%
Old gold,https://en.wikipedia.org/wiki/Old_gold,#CFB53B,81%,71%,23%,49°,61%,52%,71%,81%
Old heliotrope,https://en.wikipedia.org/wiki/Heliotrope_(color),#563C5C,34%,24%,36%,289°,21%,30%,35%,36%
Old lace,https://en.wikipedia.org/wiki/Old_lace_(color),#FDF5E6,99%,96%,90%,39°,85%,95%,9%,99%
Old lavender,https://en.wikipedia.org/wiki/Lavender_(color)#Old_lavender,#796878,47%,41%,47%,304°,8%,44%,14%,47%
Old mauve,https://en.wikipedia.org/wiki/Mauve#Old_mauve,#673147,40%,19%,28%,336°,36%,30%,52%,40%
Old moss green,https://en.wikipedia.org/wiki/Shades_of_green#Old_moss_green,#867E36,53%,49%,21%,54°,43%,37%,60%,53%
Old rose,https://en.wikipedia.org/wiki/Rose_(color)#Old_rose,#C08081,75%,50%,51%,359°,34%,63%,33%,75%
Old silver,https://en.wikipedia.org/wiki/Silver_(color)#Old_silver,#848482,52%,52%,51%,60°,1%,51%,2%,52%
Olive,https://en.wikipedia.org/wiki/Olive_(color),#808000,50%,50%,0%,60°,100%,25%,100%,50%
Olive Drab (#3),https://en.wikipedia.org/wiki/Olive_(color)#Olive_drab,#6B8E23,42%,56%,14%,80°,60%,35%,75%,56%
Olive Drab #7,https://en.wikipedia.org/wiki/Olive_(color)#Olive_drab,#3C341F,24%,20%,12%,43°,32%,18%,48%,24%
Olivine,https://en.wikipedia.org/wiki/Olive_(color)#Olivine,#9AB973,60%,73%,45%,87°,33%,59%,38%,73%
Onyx,https://en.wikipedia.org/wiki/Shades_of_black_(colors)#Onyx,#353839,21%,22%,22%,195°,4%,22%,7%,22%
Opera mauve,https://en.wikipedia.org/wiki/Mauve#Opera_mauve,#B784A7,72%,52%,65%,319°,26%,62%,28%,72%
Orange (color wheel),https://en.wikipedia.org/wiki/Shades_of_orange#Orange_.28color_wheel.29,#FF7F00,100%,50%,0%,30°,100%,50%,100%,100%
